CASE	NAME	        SYCT	NMIN	NMAX	CACH	CHMIN	CHMAX	PERF  ESTPERF
155	NAS_AS/9000_N	48	4000	24000	32	8	24	214	151
156	NAS_AS/9040	38	8000	32000	64	8	24	326	267
157	NAS_AS/9060	30	16000	32000	256	16	24	510	603
158	NCR_V8535_II	112	1000	1000	0	1	4	8	19
159	NCR_V8545_II	84	1000	2000	0	1	6	12	21
160	NCR_V8555_II	56	1000	4000	0	1	6	17	26
161	NCR_V8565_II	56	2000	6000	0	1	8	21	35
162	NCR_V8565_II_E	56	2000	8000	0	1	8	24	41
163	NCR_V8575_II	56	4000	8000	0	1	8	34	47
164	NCR_V8585_II	56	4000	12000	0	1	8	42	62
165	NCR_V8595_II	56	4000	16000	0	1	8	46	78
166	NCR_V8635	38	4000	8000	32	16	32	51	80
167	NCR_V8650	38	4000	8000	32	16	32	116	80
168	NCR_V8635	38	8000	16000	64	4	8	100	142
169	NCR_V8665	38	8000	24000	160	4	8	140	281
170	NCR_V8670	38	4000	16000	128	16	32	212	190
171	NIXDORF_8890/30	200	1000	2000	0	1	2	25	21
172	NIXDORF_8890/50	200	1000	4000	0	1	4	30	25
173	NIXDORF_8890/70	200	2000	8000	64	1	5	41	67
174	PERKIN-ELMER_3205	250	512	4000	0	1	7	25	24
175	PERKIN-ELMER_3210	250	512	4000	0	4	7	50	24
176	PERKIN-ELMER_3230	250	1000	16000	1	1	8	50	64
177	PRIME_50-2250	160	512	4000	2	1	5	30	25
178	PRIME_50-250_II	160	512	2000	2	3	8	32	20
179	PRIME_50-550_II	160	1000	4000	8	1	14	38	29
180	PRIME_50-750_II	160	1000	8000	16	1	14	60	43
181	PRIME_50-850_II	160	2000	8000	32	1	13	109	53
182	SIEMENS_7.521	240	512	1000	8	1	3	6	19
183	SIEMENS_7.531	240	512	2000	8	1	5	11	22
184	SIEMENS_7.536	105	2000	4000	8	3	8	22	31
185	SIEMENS_7.541	105	2000	6000	16	6	16	33	41
186	SIEMENS_7.551	105	2000	8000	16	4	14	58	47
187	SIEMENS_7.561	52	4000	16000	32	4	12	130	99
188	SIEMENS_7.865-2	70	4000	12000	8	6	8	75	67
189	SIEMENS_7.870-2	59	4000	12000	32	6	12	113	81
190	SIEMENS_7.872-2	59	8000	16000	64	12	24	188	149
191	SIEMENS_7.875-2	26	8000	24000	32	8	16	173	183
192	SIEMENS_7.880-2	26	8000	32000	64	12	16	248	275
193	SIEMENS_7.881-2	26	8000	32000	128	24	32	405	382
194	SPERRY_1100/61_H1	116	2000	8000	32	5	28	70	56
195	SPERRY_1100/81	50	2000	32000	24	6	26	114	182
196	SPERRY_1100/82	50	2000	32000	48	26	52	208	227
197	SPERRY_1100/83	50	2000	32000	112	52	104	307	341
198	SPERRY_1100/84	50	4000	32000	112	52	104	397	360
199	SPERRY_1100/93	30	8000	64000	96	12	176	915	919
200	SPERRY_1100/94	30	8000	64000	128	12	176	1150	978
201	SPERRY_80/3	180	262	4000	0	1	3	12	24
202	SPERRY_80/4	180	512	4000	0	1	3	14	24
203	SPERRY_80/5	180	262	4000	0	1	3	18	24
204	SPERRY_80/6	180	512	4000	0	1	3	21	24
205	SPERRY_80/8	124	1000	8000	0	1	8	42	37
206	SPERRY_90/80_MODEL_3	98	1000	8000	32	2	8	46	50
207	STRATUS_32	125	2000	8000	0	2	14	52	41
208	WANG_VS10	480	512	8000	32	0	0	67	47
209	WANG_VS_90	480	1000	4000	0	0	0	45	25
